run_name,cycle_count,test_time,point_id,max_strain_ue,min_strain_ue,remark
CSV-R01,10000,2026-06-24T15:30:00+08:00,01,109.5,-82.5,debug csv import sample
CSV-R01,10000,2026-06-24T15:30:00+08:00,02,122.5,-91.5,debug csv import sample
CSV-R01,10000,2026-06-24T15:30:00+08:00,03,135.5,-100.5,debug csv import sample
CSV-R01,10000,2026-06-24T15:30:00+08:00,04,148.5,-109.5,debug csv import sample
CSV-R01,10000,2026-06-24T15:30:00+08:00,05,161.5,-118.5,debug csv import sample
CSV-R01,10000,2026-06-24T15:30:00+08:00,06,174.5,-127.5,debug csv import sample
CSV-R01,10000,2026-06-24T15:30:00+08:00,07,187.5,-136.5,debug csv import sample
CSV-R01,10000,2026-06-24T15:30:00+08:00,08,200.5,-145.5,debug csv import sample
CSV-R01,10000,2026-06-24T15:30:00+08:00,09,213.5,-154.5,debug csv import sample
CSV-R01,10000,2026-06-24T15:30:00+08:00,10,226.5,-163.5,debug csv import sample
CSV-R02,20000,2026-06-24T16:30:00+08:00,01,113.78,-83.78,debug csv import sample
CSV-R02,20000,2026-06-24T16:30:00+08:00,02,127.53,-93.53,debug csv import sample
CSV-R02,20000,2026-06-24T16:30:00+08:00,03,141.37,-103.37,debug csv import sample
CSV-R02,20000,2026-06-24T16:30:00+08:00,04,155.29,-113.29,debug csv import sample
CSV-R02,20000,2026-06-24T16:30:00+08:00,05,169.3,-123.3,debug csv import sample
CSV-R02,20000,2026-06-24T16:30:00+08:00,06,183.4,-133.4,debug csv import sample
CSV-R02,20000,2026-06-24T16:30:00+08:00,07,201.64,-147.64,debug csv import sample
CSV-R02,20000,2026-06-24T16:30:00+08:00,08,211.86,-153.86,debug csv import sample
CSV-R02,20000,2026-06-24T16:30:00+08:00,09,226.22,-164.22,debug csv import sample
CSV-R02,20000,2026-06-24T16:30:00+08:00,10,245.55,-179.55,debug csv import sample
CSV-R03,30000,2026-06-24T17:30:00+08:00,01,118.07,-85.07,debug csv import sample
CSV-R03,30000,2026-06-24T17:30:00+08:00,02,132.56,-95.56,debug csv import sample
CSV-R03,30000,2026-06-24T17:30:00+08:00,03,147.23,-106.23,debug csv import sample
CSV-R03,30000,2026-06-24T17:30:00+08:00,04,162.08,-117.08,debug csv import sample
CSV-R03,30000,2026-06-24T17:30:00+08:00,05,177.1,-128.1,debug csv import sample
